Security,Brokerage,Built-up area,Bathrooms,Age of property,Price,School Time,School Distance,Hospital Time,Hospital Distance,Railway Time,Railway Distance,Area,City
150000.0,27000,1300.0,2.0,8.0,27000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
75000.0,0,1315.0,2.0,8.0,17000.0,1,0.3,1,0.6,15,11.1,Kadri,Mangalore
150000.0,25000,1175.0,2.0,14.0,25000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
0.0,28000,1250.0,2.0,5.0,28000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
100000.0,25000,1250.0,2.0,8.0,25000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
200000.0,35000,1700.0,2.0,3.0,35000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
100000.0,26000,1250.0,2.0,6.0,26000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
100000.0,18000,1350.0,2.0,8.0,18000.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
150000.0,27000,1700.0,3.0,1.0,27000.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
50000.0,13000,800.0,1.0,1.0,13000.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
40000.0,0,800.0,2.0,3.0,8000.0,2,1.4,8,6.5,15,11.1,Kavoor,Mangalore
60000.0,15000,1200.0,2.0,1.0,15000.0,1,0.4,5,3.4,15,11.1,Kavoor,Mangalore
0.0,22000,1100.0,2.0,2.0,22000.0,1,0.4,4,2.9,15,11.1,Kavoor,Mangalore
50000.0,0,700.0,1.0,0.0,12000.0,2,1.8,6,5.3,15,11.1,Kavoor,Mangalore
40000.0,0,1100.0,2.0,4.0,20000.0,1,0.4,4,2.9,15,11.1,Kavoor,Mangalore
180000.0,30000,1430.0,3.0,0.0,30000.0,1,0.4,4,2.9,15,11.1,Kavoor,Mangalore
50000.0,0,650.0,2.0,5.0,12000.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
100000.0,0,1400.0,2.0,0.0,19500.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
75000.0,0,1700.0,2.0,15.0,18000.0,2,1.4,8,6.5,15,11.1,Kavoor,Mangalore
100000.0,17000,1200.0,2.0,10.0,17000.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
50000.0,0,800.0,2.0,0.0,11000.0,3,1.6,6,5.4,15,11.1,Kavoor,Mangalore
50000.0,0,1000.0,2.0,0.0,15000.0,2,1.5,3,3.6,15,11.1,Kavoor,Mangalore
0.0,0,1550.0,3.0,7.0,15000.0,3,1.4,4,2.0,15,11.1,Kavoor,Mangalore
100000.0,25000,1400.0,2.0,10.0,25500.0,4,2.6,1,0.4,15,11.1,Kodailbail,Mangalore
